Area,AgeAdjustedRate,CaseCount,Population,AverageTemp*F,Region
Alabama,24.4,1381,4860545,62.8,SE
Alaska,14.5,99,741522,26.6,W
Arizona,25.3,2074,6908642,60.3,SW
Arkansas,22.2,765,2988231,60.4,SE
California,22.4,9535,39296476,59.4,W
Colorado,21.5,1274,5530105,45.1,W
Connecticut,20.5,913,3587685,49,NE
Delaware,29.4,360,952698,55.3,NE
District of Columbia,9.7,67,684336,55.7,SE
Florida,24,6722,20656589,70.7,SE
Georgia,25.8,2819,10313620,63.5,SE
Hawaii,25.9,447,1428683,70,W
Idaho,29.8,544,1680026,44.4,W
Illinois,22.1,3212,12835726,51.8,MW
Indiana,21,1556,6634007,51.7,MW
Iowa,28.2,1009,3130869,47.8,MW
Kansas,27.5,879,2907731,54.3,MW
Kentucky,28.7,1463,4436113,55.6,SE
Louisiana,16.3,834,4686157,66.4,SE
Maine,27.7,491,1330232,41,NE
Maryland,24.1,1648,6024752,54.2,NE
Massachusetts,24.5,2001,6823721,47.9,NE
Michigan,20.2,2391,9933445,44.4,MW
Minnesota,31.1,1937,5525050,41.2,MW
Mississippi,17.7,593,2985415,63.4,SE
Missouri,18.6,1308,6091176,54.5,MW
Montana,27.4,344,1038656,42.7,W
Nebraska,28.4,586,1907603,48.8,MW
Nevada,18.2,607,2939254,49.9,W
New Hampshire,30.9,533,1335015,43.8,NE
New Jersey,20.7,2219,8978416,52.7,NE
New Mexico,15.7,396,2085432,53.4,SE
New York,17.7,4126,19836286,45.4,NE
North Carolina,26.2,3042,10156689,59,SE
North Dakota,22.4,182,755548,40.4,MW
Ohio,26.2,3577,11622554,50.7,MW
Oklahoma,25.1,1094,3921207,59.6,SW
Oregon,24.3,1184,4085989,48.4,W
Pennsylvania,23.1,3685,12787085,48.8,NE
Rhode Island,21.7,279,1057566,50.1,NE
South Carolina,24.2,1451,4959822,62.4,SE
South Dakota,24.1,230,861542,45.2,MW
Tennessee,19,1484,6649404,57.6,SE
Texas,12.6,3453,27904862,64.8,SW
Utah,41.2,1107,3044321,48.6,W
Vermont,41.1,330,623354,42.9,NE
Virginia,19.2,1836,8414380,55.1,SE
Washington,25.5,2088,7280934,48.3,W
West Virginia,22.1,518,1828637,51.8,SE
Wisconsin,24.4,1667,5772917,43.1,MW
Wyoming,19.8,136,584910,42,W
